City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
119,Srednekolymsk,0,RU,1589836332,68,67.45,153.6833,39.65,11.77
120,Clyde River,1,CA,1589836369,92,70.4692,-68.5914,28.4,4.21
121,Leningradskiy,97,RU,1589836333,96,69.3833,178.4167,28.45,3.91
122,Sotik Post,16,KE,1589835907,55,-0.7813,35.3416,55.15,4.23
123,Iranshahr,0,IR,1589836158,14,27.2025,60.6848,89.6,11.41
124,Upernavik,0,GL,1589836240,80,72.7868,-56.1549,35.53,6.02
125,Tuatapere,1,NZ,1589836333,84,-46.1333,167.6833,39.15,3.67
126,Bonwapitse,0,BW,1589836154,30,-23.0766,26.7037,60.03,3.71
127,Sandviken,61,SE,1589836201,64,60.6167,16.7667,43.0,1.72
128,Kununurra,98,AU,1589836331,77,-15.7667,128.7333,62.6,8.7
129,Wewak,82,PG,1589836190,87,-3.5534,143.6268,79.39,6.22
130,Caravelas,3,BR,1589836259,80,-17.7125,-39.2481,75.04,8.39
131,Sabla,65,NG,1589836194,20,12.7525,4.7077,98.73,3.98
132,Aklavik,75,CA,1589836366,58,68.2191,-135.0107,30.2,6.93
133,Mahébourg,40,MU,1589836156,56,-20.4081,57.7,73.4,6.93
134,San Cristobal,40,VE,1589836551,34,7.7669,-72.225,95.0,21.92
135,Mahibadhoo,100,MV,1589835970,77,3.7833,72.9667,85.32,23.22
136,Marzuq,66,YE,1589835905,36,14.4,46.4667,82.85,4.56
137,Hasaki,75,JP,1589836191,100,35.7333,140.8333,66.2,13.87
138,Bandar-e Lengeh,48,IR,1589836144,29,26.5579,54.8807,89.85,8.59
139,Norman Wells,90,CA,1589836368,55,65.282,-126.8329,33.8,11.41
140,Castro,0,BR,1589836536,40,-24.7911,-50.0119,59.07,4.68
141,Meïganga,93,CM,1589836158,70,6.5167,14.3,69.08,2.62
142,Maó,40,ES,1589836181,77,39.8885,4.2658,64.4,5.82
143,Chokurdakh,5,RU,1589836333,96,70.6333,147.9167,24.67,7.58
144,Faya,96,SA,1589836143,55,18.3851,42.4509,68.0,8.05
145,Esperance,40,AU,1589836331,87,-33.8667,121.9,46.4,4.7
146,Suntar,100,RU,1589836325,80,62.1444,117.6319,49.46,3.83
147,Talas,43,TR,1589836148,59,38.6908,35.5538,62.6,8.05
148,Bluff,56,NZ,1589836332,86,-46.6,168.3333,41.76,7.65
149,Bereda,33,ES,1589836487,84,43.2686,-7.5406,59.0,2.68
150,Bandundu,19,CD,1589836155,76,-3.3167,17.3667,76.66,1.36
151,Ust-Nera,7,RU,1589836332,60,64.5667,143.2,38.8,5.44
152,Margate,100,GB,1589836193,70,51.3813,1.3862,60.01,9.82
153,Kavieng,40,PG,1589836332,80,-2.5744,150.7967,83.62,16.13
154,Luwuk,100,ID,1589836179,76,-0.9516,122.7875,79.68,2.8
155,Saint-Augustin,75,CA,1589836372,77,51.226,-58.6502,39.52,8.12
156,Ribeira Grande,75,PT,1589836229,93,38.5167,-28.7,64.4,12.75
157,Vao,54,NC,1589836331,61,-22.6667,167.4833,70.83,14.45
158,Namuac,0,PH,1589835983,78,18.6109,121.1657,78.3,4.34
159,Alofi,40,NU,1589836570,78,-19.0595,-169.9187,77.0,5.82
160,Petropavlovsk-Kamchatsky,94,RU,1589836191,93,53.0452,158.6483,39.2,6.71
161,Kathmandu,40,NP,1589836174,88,27.7167,85.3167,68.0,3.36
162,Baykit,49,RU,1589835971,79,61.67,96.37,48.47,2.93
163,São João da Barra,1,BR,1589836530,65,-21.6403,-41.0511,78.8,9.17
164,Newcastleton,100,GB,1589836374,100,55.1796,-2.8127,51.8,14.99
165,Bambous Virieux,40,MU,1589835959,56,-20.3428,57.7575,73.4,6.93
166,Yeppoon,23,AU,1589836333,77,-23.1333,150.7333,64.4,8.05
167,Rapid Valley,1,US,1589836630,44,44.0625,-103.1463,75.2,23.04
168,Hay River,90,CA,1589836370,69,60.8156,-115.7999,35.6,16.11
169,Fonte Boa,100,BR,1589836375,94,-2.4959,-66.2662,78.96,2.44
170,Ponta do Sol,40,PT,1589836350,77,32.6667,-17.1,64.4,16.11
171,Quanzhou,20,CN,1589836161,94,24.9139,118.5858,77.0,2.24
172,Sambava,86,MG,1589836157,78,-14.2667,50.1667,74.86,16.89
173,Surovikino,97,RU,1589836151,80,48.6078,42.8486,53.11,13.02
174,Mar del Plata,1,AR,1589836527,45,-38.0023,-57.5575,64.4,11.41
175,Broome County,90,US,1589836347,76,42.2506,-75.833,60.01,12.75
176,Talnakh,75,RU,1589836175,80,69.4865,88.3972,41.0,6.71
177,Manicoré,99,BR,1589836282,89,-5.8092,-61.3003,81.93,1.12
178,Jatibonico,100,CU,1589836542,56,21.9419,-79.17,87.66,7.2
179,Alagoinhas,5,BR,1589836536,87,-12.1356,-38.4192,73.71,5.46
180,Ancud,100,CL,1589836566,71,-41.8697,-73.8203,55.0,5.82
181,Morón,0,AR,1589836527,61,-34.6534,-58.6198,71.01,7.7
182,Bathsheba,75,BB,1589836229,69,13.2167,-59.5167,82.4,16.11
183,Lagoa,74,PT,1589836229,89,39.05,-27.9833,64.27,14.61
184,Harper,80,LR,1589836193,85,4.375,-7.7169,79.16,6.91
185,Russell County,90,US,1589836306,88,32.3502,-85.1999,69.8,11.41
186,Hailar,100,CN,1589836159,60,49.2,119.7,53.64,5.55
187,Dolisie,65,CG,1589836156,83,-4.1997,12.6739,73.74,4.94
188,Te Anau,13,NZ,1589836347,79,-45.4167,167.7167,38.14,1.03
189,Almaznyy,20,RU,1589835929,87,48.0448,40.045,57.2,11.18
190,Tura,0,IN,1589836162,42,25.5198,90.2201,77.9,2.84
191,Marovoay,20,MG,1589836157,65,-16.1,46.6333,77.0,9.17
192,Bengkulu,46,ID,1589836179,82,-3.8004,102.2655,76.41,3.85
193,San Patricio,40,MX,1589836567,79,19.2167,-104.7,86.0,11.41
194,Elvas,0,PT,1589836350,47,38.8815,-7.1628,75.2,2.24
195,Fortuna,58,US,1589836626,77,40.5982,-124.1573,61.0,9.17
196,Cochin,75,IN,1589836171,94,9.9399,76.2602,78.8,10.29
197,La Plata,0,AR,1589836527,83,-34.9215,-57.9545,66.0,7.25
198,Saint George,1,US,1589836626,13,37.1041,-113.5841,89.6,26.4
199,Ibiá,20,BR,1589836531,44,-19.4783,-46.5389,75.2,4.7
200,Vardø,75,NO,1589835954,82,70.3705,31.1107,33.8,11.41
201,Hong Kong,94,HK,1589836185,88,22.2855,114.1577,78.01,5.99
202,Belmonte,40,BR,1589836260,83,-15.8631,-38.8828,77.0,6.93
203,Yellowknife,90,CA,1589836642,60,62.456,-114.3525,32.0,9.17
204,Souris,40,CA,1589836373,31,49.6172,-100.2612,73.4,21.92
205,Tocopilla,11,CL,1589836561,45,-22.092,-70.1979,67.89,5.17
206,Sosnogorsk,42,RU,1589836151,79,63.6023,53.8817,46.53,4.21
207,Tanete,100,ID,1589836324,92,-3.9443,119.7848,76.41,1.1
208,Kānt,0,IN,1589836169,12,27.8,79.8,87.1,7.23
209,Port Elizabeth,100,ZA,1589836156,100,-33.918,25.5701,60.8,3.36
210,Húsavík,0,IS,1589836369,36,66.0449,-17.3389,48.2,6.93
211,Hami,0,CN,1589836159,17,42.8,93.45,72.64,8.19
212,Taltal,24,CL,1589836296,67,-25.4,-70.4833,63.32,3.85
213,Sungai Penuh,79,ID,1589836178,70,-2.0833,101.3833,66.04,3.47
214,Sinegor'ye,95,RU,1589836332,73,62.0788,150.477,35.11,3.49
215,Aksarka,100,RU,1589835971,59,66.5606,67.7975,45.54,12.35
216,Thinadhoo,95,MV,1589835970,75,0.5333,72.9333,85.37,24.49
217,Vyazemskiy,0,RU,1589836189,63,47.5378,134.7525,45.79,5.01
218,Mandera,56,KE,1589836145,52,3.9366,41.867,82.4,7.9
219,Panabá,98,MX,1589836268,38,21.2833,-88.2667,96.28,10.96
220,Dali,1,CN,1589836159,43,25.7,100.1833,58.26,4.76
221,Flin Flon,75,CA,1589836369,35,54.7682,-101.865,71.6,8.05
222,Constitución,95,CL,1589836561,83,-35.3333,-72.4167,59.65,2.64
223,Skibbereen,75,IE,1589836438,93,51.55,-9.2667,53.6,13.87
224,Kavaratti,88,IN,1589835966,75,10.5669,72.642,85.05,22.19
225,Trinidad,40,BO,1589836566,66,-14.8333,-64.9,86.0,2.17
226,Sørland,40,NO,1589836491,93,67.667,12.6934,35.6,2.24
227,Bellevue,75,US,1589836631,55,47.6104,-122.2007,66.99,10.29
228,Zhezkazgan,26,KZ,1589836176,66,47.8043,67.7144,52.52,14.41
229,Chardara,4,KZ,1589836176,46,41.2547,67.9692,60.13,3.67
230,Yulin,0,CN,1589836163,86,22.6333,110.15,73.94,0.51
231,Iisalmi,100,FI,1589836153,78,63.5592,27.1907,42.8,5.82
232,Isangel,75,VU,1589836333,82,-19.55,169.2667,66.2,11.86
233,São Filipe,7,CV,1589836229,77,14.8961,-24.4956,72.81,9.71
234,Thompson,90,CA,1589836642,35,55.7435,-97.8558,69.8,11.41
235,Falkenstein,1,DE,1589836429,60,50.4779,12.3713,55.0,3.33
236,Sun Valley,75,US,1589836625,23,39.5963,-119.776,57.0,14.99
237,Yerbogachen,100,RU,1589836324,61,61.2767,108.0108,49.44,3.31
238,Ponnāni,100,IN,1589836165,84,10.767,75.9252,82.09,13.18
239,Ivdel’,16,RU,1589836175,59,60.6911,60.4206,44.87,1.63
240,Duma,77,CN,1589836324,59,34.7653,108.135,60.8,4.47
